Day,Cash On Hand
11,534347
12,658323
13,665709
14,355780
15,705141
16,433758
17,640426
18,412579
19,532409
20,137457
21,88939
22,73839
23,391734
24,589772
25,321428
26,1025887
27,1037746
28,1012064
29,1268443
30,1939084
31,2108287
32,2617673
33,5065414
34,6982961
35,9573957
36,9522317
37,9026615
38,9725997
39,9476151
40,9772221
41,10479440
42,11001305
43,11095912
44,15202041
45,18491816
46,18711689
47,18975374
48,19101910
49,19098886
50,20769411
51,20518615
52,24385780
53,28194310
54,29370445
55,28963855
56,29096487
57,31495388
58,31871257
59,32499552
60,33065828
61,34128786
62,35409507
63,36841814
64,37474948
65,42326894
66,42425265
67,43215236
68,42862248
69,43541764
70,46837373
71,49203622
72,51783206
73,52414259
74,53917571
75,55486348
76,56371298
77,56759359
78,56848653
79,57725860
80,58195423
81,59017547
82,60080614
83,60677315
84,63744401
85,66295167
86,67708768
87,69003945
88,70475791
89,73031103
90,74272088
